idencuesta,ola,social_trust,trust_nb,clase,m0_sexo,m0_edad,age10,swb,employed,couple,t02_01
5101484,1,0,1,1,2,39,-1.0940375224877925,0,1,0,4
5101485,1,0,0,3,1,53,0.30596247751220745,0,1,0,2
5101486,1,0,1,3,1,24,-2.5940375224877927,0,1,0,4
5101491,1,0,0,1,2,71,2.1059624775122074,0,0,0,4
5101492,1,0,0,3,2,60,1.0059624775122074,0,0,1,4
5101494,1,0,0,3,1,19,-3.0940375224877927,0,0,0,3
5101495,1,1,1,3,1,52,0.20596247751220745,0,1,0,4
5101501,1,0,1,1,1,74,2.4059624775122073,0,0,0,5
5101507,1,0,0,3,1,70,2.0059624775122074,0,0,1,4
5101513,1,0,0,3,2,42,-0.7940375224877926,0,1,0,3
5101515,1,0,0,2,2,37,-1.2940375224877925,0,1,0,2
5101521,1,1,1,3,1,54,0.40596247751220743,1,1,1,4
5101523,1,0,1,3,1,34,-1.5940375224877925,0,1,1,4
5101525,1,0,0,3,2,26,-2.3940375224877926,0,1,0,2
5101531,1,0,1,3,2,23,-2.6940375224877924,0,0,1,4
5101533,1,0,0,3,2,25,-2.4940375224877926,0,0,1,5
5101536,1,0,0,3,2,23,-2.6940375224877924,0,0,0,2
5103031,1,0,0,3,1,42,-0.7940375224877926,0,1,1,4
5103033,1,0,0,3,1,42,-0.7940375224877926,0,0,1,3
5103038,1,0,1,3,2,22,-2.7940375224877925,0,1,1,4
5109013,1,0,1,2,2,62,1.2059624775122075,1,0,0,5
5109033,1,1,1,2,1,57,0.7059624775122074,0,1,1,4
5109034,1,0,0,2,1,54,0.40596247751220743,0,1,0,4
5109051,1,0,1,3,1,47,-0.2940375224877926,0,1,0,5
5109052,1,0,0,3,2,24,-2.5940375224877927,0,0,0,4
5109057,1,0,0,2,2,28,-2.1940375224877924,0,1,0,4
5109103,1,0,0,3,2,45,-0.49403752248779254,0,1,0,3
5109114,1,0,0,3,1,65,1.5059624775122074,1,0,1,3
5109115,1,1,1,1,2,59,0.9059624775122075,0,0,0,5
5109124,1,0,1,2,1,51,0.10596247751220744,0,1,1,5
